date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:05:51	27466/27466	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:04:54%20GMT	https://maxcdn.bootstrapcdn.com/font-awesome/4.5.0/css/font-awesome.min.css	C:/Meus%20Sites/FELIPE%20NATAL/maxcdn.bootstrapcdn.com/font-awesome/4.5.0/css/font-awesome.min.css	(from https://mobidrive.com.br/)
18:05:51	9562/9562	---M--	200	added ('OK')	text/html	etag:%22255a-5cc241a780818%22	https://mobidrive.com.br/plano-vip/	C:/Meus%20Sites/FELIPE%20NATAL/mobidrive.com.br/plano-vip/index.html	(from https://mobidrive.com.br/)
18:05:52	488/488	---M--	404	error ('Not%20Found')	text/html	etag:%221e8-44a49486ccac0%22	https://mobidrive.com.br/assets/vendor/aos/aos.js	C:/Meus%20Sites/FELIPE%20NATAL/mobidrive.com.br/assets/vendor/aos/aos.js	(from https://mobidrive.com.br/)
18:05:52	21838/21838	---M--	200	added ('OK')	text/html	etag:%22554e-5cc241a83ac90%22	https://mobidrive.com.br/politica-privacidade/	C:/Meus%20Sites/FELIPE%20NATAL/mobidrive.com.br/politica-privacidade/index.html	(from https://mobidrive.com.br/)
18:05:52	78748/78748	---M--	200	added ('OK')	application/javascript	etag:%221339c-5cc2419b96368%22	https://mobidrive.com.br/assets/vendor/bootstrap/js/bootstrap.bundle.min.js	C:/Meus%20Sites/FELIPE%20NATAL/mobidrive.com.br/assets/vendor/bootstrap/js/bootstrap.bundle.min.js	(from https://mobidrive.com.br/)
18:05:52	55976/55976	---M--	200	added ('OK')	application/javascript	etag:%22daa8-5cc241a4a7038%22	https://mobidrive.com.br/assets/vendor/glightbox/js/glightbox.min.js	C:/Meus%20Sites/FELIPE%20NATAL/mobidrive.com.br/assets/vendor/glightbox/js/glightbox.min.js	(from https://mobidrive.com.br/)
18:05:53	88145/88145	---M--	200	added ('OK')	text/javascript	date:Mon,%2013%20May%202019%2014:37:17%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.4.1/jquery.min.js	C:/Meus%20Sites/FELIPE%20NATAL/ajax.googleapis.com/ajax/libs/jquery/3.4.1/jquery.min.js	(from https://mobidrive.com.br/)
18:05:53	145446/145446	---M--	200	added ('OK')	application/javascript	etag:%2223826-5cc241918c250%22	https://mobidrive.com.br/assets/vendor/swiper/swiper-bundle.min.js	C:/Meus%20Sites/FELIPE%20NATAL/mobidrive.com.br/assets/vendor/swiper/swiper-bundle.min.js	(from https://mobidrive.com.br/)
18:05:54	5410/5410	---M--	200	added ('OK')	application/javascript	etag:%221522-5cc2418890958%22	https://mobidrive.com.br/assets/js/main.js	C:/Meus%20Sites/FELIPE%20NATAL/mobidrive.com.br/assets/js/main.js	(from https://mobidrive.com.br/)
18:05:54	8042/8042	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Dec%202021%2021:05:53%20GMT	https://mobidrive.com.br/confirmacao_contato.php	C:/Meus%20Sites/FELIPE%20NATAL/mobidrive.com.br/confirmacao_contato.html	(from https://mobidrive.com.br/)
18:05:54	488/488	---M--	404	error ('Not%20Found')	text/html	etag:%221e8-44a49486ccac0%22	https://mobidrive.com.br/post	C:/Meus%20Sites/FELIPE%20NATAL/mobidrive.com.br/post	(from https://mobidrive.com.br/)
18:05:55	2/2	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Dec%202021%2021:05:53%20GMT	https://mobidrive.com.br/enviar_contato.php	C:/Meus%20Sites/FELIPE%20NATAL/mobidrive.com.br/enviar_contato.html	(from https://mobidrive.com.br/)
18:05:56	273536/273536	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2242c80-5cc241a1efb38%22	https://mobidrive.com.br/assets/vendor/boxicons/fonts/boxicons.eot	C:/Meus%20Sites/FELIPE%20NATAL/mobidrive.com.br/assets/vendor/boxicons/fonts/boxicons.eot	(from https://mobidrive.com.br/assets/vendor/boxicons/css/boxicons.min.css)
18:05:56	93260/93260	---M--	200	added ('OK')	text/html	etag:%2216c4c-5cc241a300e50%22	https://mobidrive.com.br/assets/vendor/boxicons/fonts/boxicons.woff2	C:/Meus%20Sites/FELIPE%20NATAL/mobidrive.com.br/assets/vendor/boxicons/fonts/boxicons.html	(from https://mobidrive.com.br/assets/vendor/boxicons/css/boxicons.min.css)
18:05:56	273444/273444	---M--	200	added ('OK')	text/html	etag:%2242c24-5cc241a320a20%22	https://mobidrive.com.br/assets/vendor/boxicons/fonts/boxicons.woff	C:/Meus%20Sites/FELIPE%20NATAL/mobidrive.com.br/assets/vendor/boxicons/fonts/boxicons-2.html	(from https://mobidrive.com.br/assets/vendor/boxicons/css/boxicons.min.css)
